file	word
NWS	pornography/weighted
access	pornography/weighted
acp	weapons/weighted
action	pornography/weighted;weapons/weighted
adult	personals/weighted;pornography/weighted
adults	pornography/weighted
ak	weapons/weighted
alkyl	illegaldrugs/weighted
als	pornography/weighted
altsex	pornography/weighted
ammo	weapons/weighted
amyl	illegaldrugs/weighted
anal	pornography/weighted
angel	pornography/weighted
animal	pornography/weighted
anime	pornography/weighted
ar	weapons/weighted
armory	weapons/weighted
arse	pornography/weighted
asia	pornography/weighted
asian	pornography/weighted
ass	pornography/weighted
avs	pornography/weighted
babe	pornography/weighted
babes	pornography/weighted
bald	pornography/weighted
ball	pornography/weighted
balls	pornography/weighted
bandit	pornography/weighted
bang	pornography/weighted
banks	pornography/weighted
banned	pornography/weighted
barely	pornography/weighted
bbw	pornography/weighted
bbws	pornography/weighted
bdsm	pornography/weighted
beads	pornography/weighted
bear	pornography/weighted
bears	pornography/weighted
beauty	pornography/weighted
beaver	pornography/weighted
beer	legaldrugs/weighted
belt	pornography/weighted;weapons/weighted
beppin	pornography/weighted
betty	pornography/weighted
bi	pornography/weighted
biatch	pornography/weighted
biguns	pornography/weighted
bikini	pornography/weighted
binge	legaldrugs/weighted
bird	pornography/weighted
bitch	pornography/weighted
black	pornography/weighted;weapons/weighted
blonde	pornography/weighted
blow	pornography/weighted
blows	pornography/weighted
bluing	weapons/weighted
boff	pornography/weighted
bolt	weapons/weighted
bomb	weapons/weighted
bone	pornography/weighted
bong	illegaldrugs/weighted
boob	pornography/weighted
boobs	pornography/weighted
booty	pornography/weighted
boy	pornography/weighted
bra	pornography/weighted
bras	pornography/weighted
breast	pornography/weighted
bren	weapons/weighted
brew	legaldrugs/weighted
brown	pornography/weighted
browse	personals/weighted
brutal	pornography/weighted
buffer	weapons/weighted
bugger	pornography/weighted
bullet	weapons/weighted
bung	pornography/weighted
buried	pornography/weighted
buster	pornography/weighted
busty	pornography/weighted
butt	pornography/weighted
butyl	illegaldrugs/weighted
call	pornography/weighted
cam	pornography/weighted
camel	pornography/weighted
camera	pornography/weighted
carpet	pornography/weighted
casual	pornography/weighted
celeb	pornography/weighted
celebs	pornography/weighted
cervix	pornography/weighted
chat	pornography/weighted
check	pornography/weighted
cheeks	pornography/weighted
cheer	pornography/weighted
cherry	pornography/weighted
chick	pornography/weighted
child	pornography/weighted
chloe	pornography/weighted
chrome	pornography/weighted
chubby	pornography/weighted
chunky	pornography/weighted
churd	pornography/weighted
cigars	legaldrugs/weighted
circle	pornography/weighted
circus	pornography/weighted
city	pornography/weighted
clam	pornography/weighted
clamp	pornography/weighted
climax	pornography/weighted
clip	illegaldrugs/weighted
clit	pornography/weighted
clits	pornography/weighted
clitty	pornography/weighted
club	pornography/weighted
coated	pornography/weighted
cock	pornography/weighted
cocks	pornography/weighted
coital	pornography/weighted
coitus	pornography/weighted
color	pornography/weighted
comic	pornography/weighted
comix	pornography/weighted
compl	pornography/weighted
core	pornography/weighted
couple	pornography/weighted
cover	pornography/weighted
crack	illegaldrugs/banned;illegaldrugs/weighted
crazy	pornography/weighted
cream	pornography/weighted
creamy	pornography/weighted
cruise	weapons/weighted
cuffs	pornography/weighted
cum	pornography/weighted
cums	pornography/weighted
cunt	pornography/weighted
cuntal	pornography/weighted
cunts	pornography/weighted
cupid	personals/weighted
cute	pornography/weighted
cyber	pornography/weighted
daddy	pornography/weighted
daily	pornography/weighted
dating	personals/weighted
deemed	pornography/weighted
deep	pornography/weighted
deeper	pornography/weighted
desire	pornography/weighted
dezire	pornography/weighted
dialer	pornography/weighted
diaper	pornography/weighted
dick	pornography/weighted
dicks	pornography/weighted
dildo	pornography/weighted
dildos	pornography/weighted
dirty	pornography/weighted
dive	pornography/weighted
diving	pornography/weighted
doctor	pornography/weighted
dog	pornography/weighted
doggie	pornography/weighted
doggy	pornography/weighted
dogs	pornography/weighted
doll	pornography/weighted
dong	pornography/weighted
doodle	pornography/weighted
dorada	pornography/weighted
dorm	pornography/weighted
double	pornography/weighted
dr	pornography/weighted
drench	pornography/weighted
drink	pornography/weighted
drinks	legaldrugs/weighted
drip	pornography/weighted
drunk	pornography/weighted
dvd	pornography/weighted
dwarf	pornography/weighted
dyke	pornography/weighted
eater	pornography/weighted
eating	pornography/weighted
ebony	pornography/weighted
elder	pornography/weighted
email	pornography/weighted
enema	pornography/weighted
enjoy	pornography/weighted
enough	pornography/weighted
enter	pornography/weighted
erotic	pornography/weighted
escort	pornography/weighted
eunuch	pornography/weighted
events	pornography/weighted
ezine	pornography/weighted
face	pornography/weighted
faces	pornography/weighted
facial	pornography/weighted
fantas	pornography/weighted
fat	pornography/weighted
fatal	pornography/weighted
feast	pornography/weighted
fed	weapons/weighted
fem	pornography/weighted
female	pornography/weighted
femdom	pornography/weighted
femme	pornography/weighted
fest	pornography/weighted
fetish	pornography/weighted
fhm	pornography/weighted
fill	pornography/weighted
filled	pornography/weighted
filthy	pornography/weighted
finder	personals/weighted
fine	pornography/weighted
finest	pornography/weighted
finger	pornography/weighted
firing	weapons/weighted
fist	pornography/weighted
fisted	pornography/weighted
flab	pornography/weighted
flaps	pornography/weighted
flesh	pornography/weighted
flics	pornography/weighted
flix	pornography/weighted
fog	pornography/weighted
food	pornography/weighted
forced	pornography/weighted
frenum	pornography/weighted
frenzy	pornography/weighted
friend	personals/weighted;pornography/weighted
fuck	pornography/weighted
fucked	pornography/weighted
fucker	pornography/weighted
fucks	pornography/weighted
gag	pornography/weighted
galler	pornography/weighted
gamma	illegaldrugs/weighted
gang	pornography/weighted
ganga	illegaldrugs/weighted
ganja	illegaldrugs/weighted
gargle	pornography/weighted
garter	pornography/weighted
gay	personals/weighted;pornography/weighted
gays	pornography/weighted
geek	pornography/weighted
gets	pornography/weighted
ghb	illegaldrugs/weighted
giant	pornography/weighted
girl	pornography/weighted
girls	pornography/weighted
giving	pornography/weighted
glock	weapons/weighted
goblet	pornography/weighted
golden	pornography/weighted
gooey	pornography/weighted
grab	pornography/weighted
granny	pornography/weighted
gratis	pornography/weighted
great	pornography/weighted
greek	pornography/weighted
group	pornography/weighted
gspot	pornography/weighted
guide	personals/weighted;pornography/weighted
gun	weapons/weighted
guns	weapons/weighted
gyno	pornography/weighted
hairy	pornography/weighted
hand	pornography/weighted
handle	personals/weighted
hanf	illegaldrugs/weighted
hanky	pornography/weighted
hard	pornography/weighted
hardon	pornography/weighted
hasch	illegaldrugs/weighted
haven	pornography/weighted
head	pornography/weighted
heaven	pornography/weighted
heavy	pornography/weighted
hentai	pornography/weighted
heroin	illegaldrugs/weighted
herpes	pornography/weighted
hidden	pornography/weighted
hik	nudism/weighted
hoe	pornography/weighted
hole	pornography/weighted
holy	nudism/weighted
honeys	pornography/weighted
hooker	pornography/weighted
hornee	pornography/weighted
horney	pornography/weighted
horny	pornography/weighted
horse	pornography/weighted
hot	pornography/weighted
hotel	pornography/weighted
hotsex	pornography/weighted
hottie	pornography/weighted
huge	pornography/weighted
humper	pornography/weighted
hungry	pornography/weighted
hunt	pornography/weighted
hymen	pornography/weighted
image	pornography/weighted
images	pornography/weighted
